,Device,Title,ReviewText,SubmissionTime,UserNickname
0,Samsung Galaxy S7,Easy transition because rep transferred everything over. This is big in my book.,Samsung has gone above and beyond other phones. They can not compete with Samsung. Easy to understand and easily communicates/integrates with other operating systems.,"Mar 17, 2017",datennant
1,Samsung Galaxy S7,Great upgrade!,"The Galaxy S7 was a perfect upgrade from my previous phone, a Galaxy S4. The operating system is easy to navigate and similar enough to the previous versions that it was not hard to adjust to at all. And the battery life is so much better!!","Mar 17, 2017",Jules8613
2,Samsung Galaxy S7,Great phone,I love everything about my new Samsung Galaxy S7. It's a good phone with great features. I like the sleek design of the phone.,"Mar 16, 2017",missprettyncurvy
3,Samsung Galaxy S7,My New Galaxy 7,My friends told me I would regret waiting so long to upgrade...now I know they were right. I love the phone...all aspects and features.,"Mar 16, 2017",Poohbear54
4,Samsung Galaxy S7,Samsung and Verizon provide an excellent service and the people I deal with locally are great.,I have no photos or videos that I want to post at this time. I do not feel free to post photos of family and friends on this and I don't have any others at this time. I still have not made a video. That is on my to do list.,"Mar 03, 2017",peg571
5,Samsung Galaxy S7,Love my new Galaxy S7,"Going from a 7 year old S4 to the S7 has been outstanding. Easily switched; more advanced apps, nice size screen, fast, and sleek.","Mar 02, 2017",DAGabe
6,Samsung Galaxy S7,Nice upgrade,"Great working phone, Camera is great. Switched from an s5 to s7.sleeker style, great screen, still missing some features from the s5.","Feb 27, 2017",Sam8391
7,Samsung Galaxy S7,Love it! User friendly,Fun phone to use and play with. Still learning how to use it as it's still new to me..love Samsung!!,"Feb 25, 2017",Niteowl64
8,Samsung Galaxy S7,So much to explore so little time!,"There's so much to explore, I enjoy the similar layouts to the other Samsung phones. There are more options to your basic device commands","Feb 24, 2017",Simply amazing
9,Samsung Galaxy S7,LOVE IT,"Love this phone! I upgraded from an S5, and really didn't think there would be much of a difference. Boy, was I wrong! The camera is fantastic, the size is easier to hold with one hand and navigate, it'seems SUPER FAST, battery life is outstanding, and it's so pretty!","Feb 23, 2017",Dhfjfirenzam
10,Samsung Galaxy S7,Easy transition from iphone,Enjoying the Samsung s7. Especially the 256 gb card that came free. I don't have to worry about storage anymore,"Feb 19, 2017",Chippylady
11,Samsung Galaxy S7,Love it,So far I like everything about it. The camera the storage the design. Just everything about it so far.,"Feb 19, 2017",Lisai
12,Samsung Galaxy S7,Great Phone,Great Phone no problems so far well worth getting and a great improvement over my galaxy s4 which I had for years,"Feb 18, 2017",papa jack
13,Samsung Galaxy S7,Great Phone,"Excellent mobile phone with awesome features. Also, Verizon provides a good coverage for the New England area.","Feb 15, 2017",alecjerel
14,Samsung Galaxy S7,This is a great phone. Much better thaat my htc phone it replaced!!,This phone is much faster and works better also on low signal than my last phone. This phone is also easier to use.,"Feb 12, 2017",Jeff in PA
15,Samsung Galaxy S7,Easy to use,The phone is very easy to use. The features make sense and are simple to access. I would highly recommend this phone.,"Feb 12, 2017",Maryverizonuser
16,Samsung Galaxy S7,Galaxy s7,Im happy with my switch from motorola droid turbo to the galaxy s7. Love the android phones and wont switch to another operating system.,"Feb 12, 2017",Lesla82
17,Samsung Galaxy S7,Galaxy S7,The S7 is a major upgrade from the S6. Faster and longer battery life. The expandable storage is a huge plus.,"Feb 11, 2017",RM39
18,Samsung Galaxy S7,Easy to use,Transferring all data and apps was so simple. With the new transfer block it only took minutes and even eryrhing from my old phone was on my new one.,"Feb 10, 2017",BBuzz68
19,Samsung Galaxy S7,Love this phone,This phone is great. Crystal clear screen. The pictures are great. It has tons of memory space so you can have lots more stuff on it. Not to mention that it looks slick as all get out.,"Feb 09, 2017",Dnsirh
20,Samsung Galaxy S7,S4 to S7,"Had a Galaxy S4 and was dreading switching to a new phone, but when the battery would not hold a charge for more than 12 hours I made the switch to the S7. Surprised how seamless the transition was and now the battery lasts 2 days.","Feb 09, 2017",PJinSD
